#logback.classic pattern: %d{HH:mm:ss} [%thread] %-5level %logger{0} - %msg%n
20:40:43 [main] INFO  Application - Указан стандартный пул потоков, executorType = 'STANDARD'
20:40:44 [pool-4-thread-1] INFO  Job - Job #DemonstrationJob started
20:40:44 [Worker-1] DEBUG StandardThreadFactory - Thread [Worker-1] started
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task1 is started.
20:40:44 [NotificationThread-1] DEBUG CustomThreadFactory - Thread [NotificationThread-1] started
20:40:44 [Worker-2] DEBUG StandardThreadFactory - Thread [Worker-2] started
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task2 is started.
20:40:44 [NotificationThread-2] DEBUG CustomThreadFactory - Thread [NotificationThread-2] started
20:40:44 [Worker-3] DEBUG StandardThreadFactory - Thread [Worker-3] started
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task3 is started.
20:40:44 [Worker-4] DEBUG StandardThreadFactory - Thread [Worker-4] started
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task4 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task1 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task5 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task2 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task6 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task3 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task7 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task4 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task8 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task5 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task9 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task6 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task10 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task7 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task11 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task8 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task12 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task10 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task9 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task13 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task14 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task11 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task12 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task15 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task16 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task13 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task14 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task17 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task18 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task15 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task19 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task16 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task20 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task18 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task17 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task21 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task22 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task19 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task23 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task20 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task24 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task22 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task23 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task21 is completed.
20:40:44 [NotificationThread-3] DEBUG CustomThreadFactory - Thread [NotificationThread-3] started
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task25 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task26 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task27 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task24 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task28 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task25 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task29 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task26 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task28 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task27 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task30 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task32 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task31 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task29 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task33 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task30 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task32 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task31 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task34 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task35 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task36 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task33 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task37 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task36 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task35 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task34 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task38 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task40 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task39 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task37 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task41 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task38 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task42 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task40 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task39 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task43 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task44 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task41 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task45 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task42 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task46 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task43 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task44 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task47 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task48 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task45 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task49 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task46 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task50 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task48 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task47 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task51 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task52 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task49 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task53 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task50 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task54 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task51 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task52 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task55 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task56 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task53 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task57 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task54 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task58 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task55 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task59 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task56 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task60 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task57 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task61 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task59 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task58 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task62 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task60 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task63 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task64 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task61 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task65 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task62 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task66 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task63 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task67 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task64 is completed.
